,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
234,6716705,https://www.airbnb.com/rooms/6716705,20240917031253,2024-09-17,city scrape,3BD/2BA (vs2) Perfect 4 Families/walk to shops,"This is our 3 bedroom/2 bathroom fully furnished apartment in the heart of Roscoe Village. Whether you’re planning a weekend excursion, business trip or need a comfortable place to stay for family or friends, consider our newly rehabbed Guesthouse.",Trendy Roscoe Village offers boutique shopping and a variety of restaurants & bars.,https://a0.muscache.com/pictures/a4decda4-c81a-4cd2-81d9-d254df6eb5d3.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.94072,-87.68115,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""BBQ grill: gas"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Private entrance"", ""TV"", ""Outdoor furniture"", ""Central air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Indoor fireplace: gas"", ""Microwave"", ""Hot water""]",$264.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,26,54,84,359,2024-09-17,60,1,0,2015-10-14,2023-10-14,4.67,4.7,4.83,4.59,4.4,4.9,4.56,2209265,t,23,23,0,0,0.55
242,6780171,https://www.airbnb.com/rooms/6780171,20240917031253,2024-09-17,city scrape,Roscoe Village 2BD/1BA Fireplace E1,"Awesome 2 bedroom/1 bathroom in one of Chicago's top neighborhoods. Trendy boutiques, outdoor cafes, and great restaurants and bars. Very family friendly neighborhood with plenty to do with family and friends!",Trendy Roscoe Village offers boutique shopping and a variety of restaurants & bars.,https://a0.muscache.com/pictures/cfbb6ca3-14a6-4f99-bdd3-e5f30c606008.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.9435,-87.67674,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Paid parking on premises"", ""Refrigerator"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shared backyard"", ""Shampoo"", ""Hangers"", ""Oven"", ""Long term stays allowed"", ""Central air conditioning"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$214.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,27,55,79,351,2024-09-17,56,1,0,2016-01-02,2023-10-08,4.86,4.96,4.98,4.82,4.73,4.98,4.79,2083773,t,23,23,0,0,0.53
245,6793653,https://www.airbnb.com/rooms/6793653,20240917031253,2024-09-17,city scrape,4BD/2BA Suite w/Fireplace (re2) Perfect 4 Families,"Brand new 4 bedroom 2 bath fully furnished apartment in the heart of Roscoe Village. Whether you’re planning a weekend excursion, business trip or need a comfortable place to stay for family or friends, consider our newly rehabbed Guesthouse.",Trendy Roscoe Village offers boutique shopping and a variety of restaurants & bars.,https://a0.muscache.com/pictures/6579ded8-a62e-4941-8623-7e837a5b14c8.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.9435,-87.67674,Entire rental unit,Entire home/apt,10,2.0,2 baths,4.0,4.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Long term stays allowed"", ""Central air conditioning"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$278.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,25,50,75,350,2024-09-17,64,11,0,2015-10-06,2024-08-04,4.75,4.84,4.73,4.78,4.67,4.83,4.59,2083774,t,23,23,0,0,0.59
246,6853688,https://www.airbnb.com/rooms/6853688,20240917031253,2024-09-17,city scrape,2BD/1BA Suite w/Fireplace (hp1) FREE PARKING!!,"Awesome 2 bedroom/1 bathroom in one of Chicago's top neighborhoods. Trendy boutiques, outdoor cafes, and great restaurants and bars. Very family friendly neighborhood with plenty to do with family and friends!",Trendy Roscoe Village offers boutique shopping and a variety of restaurants & bars.,https://a0.muscache.com/pictures/71496c76-514a-4f1c-862b-d9363197ee57.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.93723,-87.6828,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Long term stays allowed"", ""Central air conditioning"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$218.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,22,49,79,354,2024-09-17,49,1,0,2016-05-08,2023-11-23,4.8,4.84,4.96,4.92,4.73,4.92,4.61,2209274,t,23,23,0,0,0.48
247,6853914,https://www.airbnb.com/rooms/6853914,20240917031253,2024-09-17,city scrape,4 BD/2 BA Apartment (hp2),"Awesome 4 bedroom/2 bathroom in one of Chicago's top neighborhoods. Trendy boutiques, outdoor cafes, and great restaurants and bars. Very family friendly neighborhood with plenty to do with family and friends!",Trendy Roscoe Village offers boutique shopping and a variety of restaurants & bars.,https://a0.muscache.com/pictures/fadc434c-dbdd-4f90-80be-4928bf3a9335.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.93723,-87.6828,Entire rental unit,Entire home/apt,10,2.0,2 baths,4.0,4.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$275.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,22,47,77,352,2024-09-17,57,1,0,2016-01-05,2023-09-20,4.61,4.63,4.72,4.77,4.6,4.88,4.53,2209275,t,23,23,0,0,0.54
248,6854069,https://www.airbnb.com/rooms/6854069,20240917031253,2024-09-17,city scrape,Lincoln Park 1BD/1BA Apt (1f),"Whether you’re planning a weekend excursion, business trip or need a comfortable place to stay for family or friends, consider our newly rehabbed Guesthouse in Lincoln Park a near north historical neighborhood in Chicago.","Trendy Lincoln Park offers boutique shopping and a variety of restaurants & bars. This Guesthouse is close to Apollo Theater, Biograph Theater, Lake Michigan, Depaul University, and Kingston Mines.",https://a0.muscache.com/pictures/8256377d-69f5-4a00-bc48-e2843a7e1d51.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lincoln Park,,41.92751,-87.65011,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Long term stays allowed"", ""Central air conditioning"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$237.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,30,60,90,365,2024-09-17,84,3,0,2016-02-02,2023-11-25,4.75,4.79,4.95,4.76,4.55,4.95,4.39,2209266,t,23,23,0,0,0.8
250,6863046,https://www.airbnb.com/rooms/6863046,20240917031253,2024-09-17,city scrape,Lincoln Park 2BD/1BA Fireplace #1r,"Whether you’re planning a weekend excursion, business trip or need a comfortable place to stay for family or friends, consider our newly rehabbed Guesthouse in Lincoln Park a near north historical neighborhood in Chicago.","Trendy Lincoln Park offers boutique shopping and a variety of restaurants & bars. This Guesthouse is close to Apollo Theater, Biograph Theater, Lake Michigan, Depaul University, and Kingston Mines.",https://a0.muscache.com/pictures/bf83d731-4219-44ad-a60e-f9255d8cfd5c.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lincoln Park,,41.92751,-87.65011,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$200.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,30,60,90,365,2024-09-17,63,4,0,2015-09-11,2024-02-04,4.73,4.81,4.92,4.84,4.71,4.95,4.6,2209267,t,23,23,0,0,0.57
251,6863178,https://www.airbnb.com/rooms/6863178,20240917031253,2024-09-17,city scrape,Lincoln Park 4BD/2BA Fireplace (2),"Whether you’re planning a weekend excursion, business trip or need a comfortable place to stay for family or friends, consider our newly rehabbed Guesthouse in Lincoln Park a near north historical neighborhood in Chicago.","Trendy Lincoln Park offers boutique shopping and a variety of restaurants & bars. This Guesthouse is close to Apollo Theater, Biograph Theater, Lake Michigan, Depaul University, and Kingston Mines.",https://a0.muscache.com/pictures/ac87d8f1-3523-45f9-91d6-d322f7ef3f30.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lincoln Park,,41.92751,-87.65011,Entire rental unit,Entire home/apt,10,2.0,2 baths,4.0,4.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$297.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,30,60,90,365,2024-09-17,103,11,0,2016-04-05,2024-06-10,4.65,4.72,4.8,4.79,4.61,4.91,4.59,2209278,t,23,23,0,0,1.0
262,7084894,https://www.airbnb.com/rooms/7084894,20240917031253,2024-09-17,city scrape,Cute Brownstone in Lakeview,"The apartment is VINTAGE Chicago and cozy. Second floor with a lot of natural light. Convenient to the train, stores and neighborhood bars. 2 blocks from the brown line for easy access downtown.  Walking distance to the lake!  Walk to Wrigley! Queen size bed.",,https://a0.muscache.com/pictures/93371036/4007176f_original.jpg,33980307,https://www.airbnb.com/users/show/33980307,Erika,2015-05-22,"Chicago, IL","Coffee
Music
Wine
Thai Food
Laid Back",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/29e3b809-6c49-4788-9b43-c96a7c01c2a9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/29e3b809-6c49-4788-9b43-c96a7c01c2a9.jpg?aki_policy=profile_x_medium,Lakeview,1,1,"['email', 'phone']",t,f,,Lake View,,41.93595,-87.65148,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""First aid kit"", ""Heating"", ""Stove"", ""Exterior security cameras on property"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Bathtub"", ""Room-darkening shades"", ""Long term stays allowed"", ""Hot water kettle"", ""Body soap"", ""Wifi \u2013 25 Mbps"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Toaster"", ""Window AC unit"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$85.00,1,1125,2,2,1125,1125,2.0,1125.0,,t,1,1,1,193,2024-09-17,457,22,3,2015-07-04,2024-09-02,4.89,4.94,4.79,4.97,4.97,4.97,4.83,R18000031648,f,1,0,1,0,4.08
279,7572706,https://www.airbnb.com/rooms/7572706,20240917031253,2024-09-17,city scrape,Wrigleyville Greystone,"First floor guesthouse ideal for 6+guests 1 block from Southport brown line station, 1/2 mile from Wrigley Field & red line station.  Open floor plan with full kitchen, DR, double LR with 55” TV & foosball table, 3 bedrooms with queen size beds, 2 full bathrooms with bidet toilet, exercise room & back patio with sofas, table & koi pond.  Since we live here and have another guests house in the building, we do not allow parties or large groups.","Vibrant community with many unique restaurants and bars within walking distance of the house.  Plenty of shopping and attractions including the Music Box and Mercury Theaters, The Vic and Metro music venues, and of course Wrigley Field.",https://a0.muscache.com/pictures/84a42c2c-e288-4c68-8120-68d5c26d603b.jpg,39699805,https://www.airbnb.com/users/show/39699805,Mark,2015-07-27,"Chicago, IL","We are a professional gay couple in our mid 50s with no children who have owned our beautiful home in Lakeview neighborhood of Chicago for over 25 years.  We are 1/2 mile from Wrigley Field.  We had so many family and friends come to visit that we converted our lower level into a full guesthouse and finished our backyard with a pond, stream, and Koi pond.",within an hour,100%,97%,t,https://a0.muscache.com/im/users/39699805/profile_pic/1438045682/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/39699805/profile_pic/1438045682/original.jpg?aki_policy=profile_x_medium,Lakeview,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Lake View,,41.94351176522624,-87.66003209499836,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Shared gym in building"", ""Backyard"", ""Portable fans"", ""Wifi"", ""Dishwasher"", ""Self check-in"", ""Central heating"", ""Dryer"", ""Stove"", ""AC - split type ductless system"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Crib"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Patio or balcony"", ""Outdoor furniture"", ""Central air conditioning"", ""Lockbox"", ""Coffee maker: drip coffee maker"", ""High chair"", ""Outdoor dining area"", ""Washer"", ""Body soap"", ""60 inch HDTV with Amazon Prime Video, Netflix, Roku, standard cable"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Exercise equipment: free weights, stationary bike, treadmill, yoga mat"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$314.00,2,30,2,2,30,30,2.0,30.0,,t,15,37,62,323,2024-09-17,174,35,5,2015-08-09,2024-09-15,4.95,4.97,4.93,4.97,4.99,4.98,4.85,R20000059076,f,2,2,0,0,1.57
373,10280979,https://www.airbnb.com/rooms/10280979,20240917031253,2024-09-17,city scrape,The Whimsical Wrigley House - Minimum 30-Day Stays,"Now accepting long term bookings, 30 days or longer! Travelers can enjoy sky-high ceilings, attractive basic amenities and playful decor in this lovely 2br/2ba just steps away from the historically buzzing Wrigley Field and just a short ride away from downtown.","Wrigleyville is the lively little pocket in the Lakeview neighborhood that sits in the shadows of historic Wrigley Field, the second oldest stadium in baseball and home to the beloved Chicago Cubs. It has become a magnet for sports fans and young professionals alike.",https://a0.muscache.com/pictures/ed68c46c-693e-4cf8-9184-c96cca8b7324.jpg,52873868,https://www.airbnb.com/users/show/52873868,Joe,2015-12-31,"Northbrook, IL",I look forward to hosting you soon!,,,,f,https://a0.muscache.com/im/pictures/user/9a0c9bcd-e440-4ae4-875b-57e3327bb555.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9a0c9bcd-e440-4ae4-875b-57e3327bb555.jpg?aki_policy=profile_x_medium,Lakeview,1,1,"['email', 'phone']",t,f,Neighborhood highlights,Lake View,,41.95553,-87.66835,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,3.0,"[""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Air conditioning"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Keypad"", ""Kitchen""]",$125.00,365,1125,365,365,1125,1125,365.0,1125.0,,t,30,60,90,365,2024-09-17,27,0,0,2016-01-20,2016-07-05,4.63,4.89,4.78,4.93,4.96,4.67,4.63,City registration pending,f,1,1,0,0,0.26
413,11983838,https://www.airbnb.com/rooms/11983838,20240917031253,2024-09-17,city scrape,Roscoe Village - Charming 3 bed 2 bath HM1,"Located in a great family area in Roscoe Village, this newly rehabbed apt is perfect for short or long term stays.","Trendy Roscoe Village offers a variety of boutiques, restaurants and bars. The best neighborhood in the city and safest!",https://a0.muscache.com/pictures/b2a41d2a-11cb-420a-859b-6bb1c55e71c4.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.94614,-87.68242,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Long term stays allowed"", ""Central air conditioning"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Indoor fireplace: gas"", ""Microwave"", ""Hot water""]",$268.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,21,51,81,356,2024-09-17,53,15,0,2018-06-05,2024-08-03,4.83,4.83,4.94,4.92,4.79,4.87,4.68,R17000014926,t,23,23,0,0,0.69
